"id";"accountid";"start_time";"end_time";"zonenumber"
374963901;6709301;1609448416165;1609449496165;c7ad
374964453;6170192;1609449343267;1609449463267;"2745"
374964422;6170567;1609449297411;1609449417411;"8ee8"
374964538;6709301;1609449459444;1609449579444;a54b
374964600;6170207;1609449549135;1609449669135;"7468"
374964569;8051191;1609449498018;1609449558018;"431e"
374964416;6170258;1609449294610;1609449414610;f847
374964590;7398500;1609449536854;1609463936854;"7468"
374964469;6170423;1609449362836;1609449482836;e8d4
374964595;6201905;1609449545241;1609449665241;"2745"
374964597;6170139;1609449546492;1609449666492;bb8a
374964443;6709301;1609449338632;1609449458632;a54b
374964641;6170118;1609449618569;1609449738569;"71a6"
374964558;6201954;1609449492040;1609449612040;"2634"
374964719;8085138;1609449746856;1609453346856;"1375"
374963907;6201969;1609448420154;1609449740154;"0a80"
374964642;6201954;1609449618893;1609449738893;"2634"
374964513;6170208;1609449429023;1609449669023;c7ad
374964745;6709301;1609449792470;1609449912470;"8f17"
374964608;6201936;1609449560544;1609449680544;"6598"
374964499;6170118;1609449411824;1609449591824;"71a6"
374964763;6170236;1609449828902;1609449948902;bb8a
374964904;705868;1609450056874;1609460856874;"077e"
374964797;6170439;1609449870509;1609449990509;a54b
374964306;102774;1609449158998;1609450058998;e8d4
374964935;1868533;1609450092529;1609468092529;c7ad
374964898;6170417;1609450046924;1609453646924;fa4c
374964847;6709301;1609449952755;1609450132755;"8ee8"
374964732;6170103;1609449773145;1609450133145;"7e1c"
374964967;102774;1609450152066;1609450212066;f13b
374964824;6170416;1609449915391;1609450035391;abcb
374964769;6170258;1609449837273;1609449957273;f847
374964933;102774;1609450092024;1609450152024;f13b
374964911;6170425;1609450066607;1609453666607;"471c"
374964989;2309649;1609450186804;1609453786804;"8ee8"
374964900;6170453;1609450048836;1609453648836;"6b91"
374964835;5621906;1609449932133;1609493132133;f92e
374964864;6170258;1609449979583;1609450159583;f847
374964402;102774;1609449277820;1609450057820;"5edf"
374964872;6202103;1609450001596;1609450121596;a54b
374964796;3353938;1609449869572;1609449989572;a54b
374964156;102774;1609448918684;1609449938684;ccac
374964817;6201936;1609449909987;1609450089987;"6598"
374964871;6201954;1609449998995;1609450118995;"2634"
374964952;102774;1609450119958;1609450179958;f13b
374964922;6709301;1609450074148;1609450254148;a54b
374964969;6201993;1609450157484;1609450337484;a522
374965008;4489822;1609450216860;1609453816860;"4fb5"
374965100;6709301;1609450432957;1609450552957;f9bf
374964399;6170124;1609449273082;1609450473082;a54b
374965064;6170499;1609450358021;1609450538021;"19b0"
374965076;6202055;1609450385276;1609450505276;"19b0"
374965063;8029288;1609450357000;1609453957000;c7ad
374965081;6201936;1609450393457;1609450513457;"6598"
374965044;6170567;1609450319294;1609450439294;"8ee8"
374965093;6201993;1609450424239;1609450544239;a522
374965132;614369;1609450491966;1609454091966;"077e"
374965082;6170416;1609450395551;1609450515551;abcb
374965097;6709301;1609450427961;1609450547961;cdf6
